mbti,ENTJ,ENTP,INTJ,INTP,ESTJ,ESFJ,ISTJ,ISFJ,ENFJ,ENFP,INFJ,INFP,ESTP,ESFP,ISTP,ISFP,NONE
ENTJ,0.2,0.4,0.6,0.6,0.4,0.2,0.4,0.2,0.4,0.6,0.6,1,0.8,0.8,0.6,1,0.7
ENTP,0.4,0.8,0.6,0.6,0.8,0.8,1,1,0.6,0.4,0.6,0.6,0.4,0.2,0.4,0.2,0.7
INTJ,0.6,0.6,0.6,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.4,0.8,1,1,0.6,0.8,0.7
INTP,0.6,0.6,0.4,0.6,0.8,1,0.4,1,1,0.4,0.8,0.4,0.4,0.2,0.4,0.2,0.7
ESTJ,0.4,0.8,0.4,0.8,0.6,0.4,0.6,0.6,0.2,0.6,0.2,1,0.2,0.6,0.6,1,0.7
ESFJ,0.2,0.8,0.2,1,0.4,0.6,0.6,0.6,0.6,0.8,0.4,0.6,0.6,0.4,1,0.6,0.7
ISTJ,0.4,1,0.6,0.6,0.6,0.6,0.6,0.4,0.2,1,0.2,0.8,0.6,0.6,0.4,0.8,0.7
ISFJ,0.2,1,0.2,1,0.6,0.6,0.4,0.4,0.4,1,0.4,0.6,0.6,0.6,0.8,0.2,0.7
ENFJ,0.4,0.6,0.6,1,0.2,0.6,0.2,0.4,0.8,0.4,0.6,0.6,0.8,0.8,1,0.6,0.7
ENFP,0.6,0.4,0.6,0.6,0.8,0.8,1,1,0.4,0.6,0.6,0.4,0.2,0.2,0.2,0.6,0.7
INFJ,0.6,0.6,0.6,0.8,0.2,0.4,0.2,0.4,0.6,0.6,0.6,0.2,1,1,1,0.6,0.7
INFP,1,0.6,0.8,0.4,1,0.6,0.8,0.6,0.6,0.4,0.2,0.6,0.2,0.4,0.4,0.4,0.7
ESTP,0.8,0.4,1,0.4,0.2,0.6,0.6,0.6,0.8,0.2,1,0.2,0.6,0.4,0.6,0.6,0.7
ESFP,0.8,0.2,1,0.2,0.6,0.4,0.6,0.6,0.8,0.2,1,0.2,0.2,0.2,0.6,0.6,0.7
ISTP,0.6,0.4,0.6,0.4,0.6,1,0.4,0.8,1,0.2,1,0.2,0.6,0.6,0.4,0.4,0.7
ISFP,1,0.2,0.8,0.2,1,0.6,0.8,0.2,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.6,0.7
NONE,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
